,id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbEmptyDocks,nbDocks
0,1,"River Street , Clerkenwell",001023,51.52916347,-0.109970527,true,false,1278947280000,,false,9,10,19
1,2,"Phillimore Gardens, Kensington",001018,51.49960695,-0.197574246,true,false,1278585780000,,false,21,14,37
2,3,"Christopher Street, Liverpool Street",001012,51.52128377,-0.084605692,true,false,1278240360000,,false,6,25,32
3,4,"St. Chad's Street, King's Cross",001013,51.53005939,-0.120973687,true,false,1278241080000,,false,18,5,23
4,5,"Sedding Street, Sloane Square",003420,51.49313,-0.156876,true,false,1278241440000,,false,10,17,27
5,6,"Broadcasting House, Marylebone",003424,51.51811784,-0.144228881,true,false,1278241680000,,false,4,14,18
6,7,"Charlbert Street, St. John's Wood",003422,51.53430039,-0.1680743,true,false,1278241800000,,false,5,10,16
7,8,"Lodge Road, St. John's Wood",003423,51.52834133,-0.170134484,true,false,1278241920000,,false,2,16,18
8,9,"New Globe Walk, Bankside",001015,51.5073853,-0.096440751,true,false,1278242340000,,false,10,8,19
9,10,"Park Street, Bankside",001024,51.50597426,-0.092754157,true,false,1278242460000,,false,2,15,18
10,11,"Brunswick Square, Bloomsbury",001022,51.52395143,-0.122502346,true,false,1278340440000,,false,3,21,24
11,12,"Malet Street, Bloomsbury",000980,51.52168078,-0.130431727,true,false,1278340620000,,false,14,35,49
12,13,"Scala Street, Fitzrovia",000970,51.51991453,-0.136039674,true,false,1278340800000,,false,4,16,21
13,14,"Belgrove Street , King's Cross",001011,51.52994371,-0.123616824,true,false,1278341040000,,false,31,3,48
14,15,"Great Russell Street, Bloomsbury",000988,51.51772703,-0.127854211,true,false,1278341220000,,false,8,17,26
15,16,"Cartwright Gardens , Bloomsbury",001010,51.52635795,-0.125979294,true,false,1278341400000,,false,15,6,22
16,17,"Hatton Wall, Holborn",001008,51.5216612,-0.109006325,true,false,1278423720000,,false,14,10,26
17,18,"Drury Lane, Covent Garden",001007,51.51477076,-0.12221963,true,false,1278426300000,,false,13,12,27
18,19,"Taviton Street, Bloomsbury",001009,51.52505093,-0.131161087,true,false,1278426720000,,false,12,17,30
19,20,"Drummond Street , Euston",000993,51.52773634,-0.135273468,true,false,1278427620000,,false,24,4,28
20,21,"Hampstead Road (Cartmel), Euston",003426,51.53007835,-0.13884627,true,false,1278427740000,,false,9,7,16
21,22,"Northington Street , Holborn",003425,51.5222641,-0.114079481,true,false,1278428880000,,false,6,10,19
22,23,"Red Lion Square, Holborn",003421,51.51943538,-0.119123345,true,false,1278429300000,,false,3,13,16
23,24,"British Museum, Bloomsbury",000981,51.51908011,-0.124678402,true,false,1278430140000,,false,10,24,35
24,25,"Doric Way , Somers Town",001004,51.5288338,-0.132250369,true,false,1278433200000,,false,12,19,31
25,26,"Ampton Street , Clerkenwell",001019,51.52728093,-0.11829517,true,false,1278434160000,,false,1,19,21
26,27,"Bouverie Street, Temple",001021,51.51382102,-0.107927706,true,false,1278500160000,,false,11,21,33
27,28,"Bolsover Street, Fitzrovia",001025,51.52351808,-0.143613641,true,false,1278500460000,,false,0,19,19
28,29,"Hereford Road, Bayswater",001016,51.513735,-0.193487,true,false,1278501180000,,false,17,5,22
29,30,"Windsor Terrace, Hoxton",001029,51.52915444,-0.093421615,true,false,1278501420000,,false,15,7,24
30,31,"Fanshaw Street, Hoxton",003427,51.52953709,-0.083353323,true,false,1278501600000,,false,18,18,36
31,32,"Leonard Circus , Shoreditch",001020,51.52469624,-0.084439283,true,false,1278506700000,,false,26,17,43
32,33,"Central House, Aldgate",003430,51.5156,-0.070056,true,false,1278506940000,,false,4,13,18
33,34,"Pancras Road, King's Cross",003428,51.5341235,-0.129386874,true,false,1278507060000,,false,13,3,16
34,36,"De Vere Gardens, Kensington",003446,51.50173726,-0.184980612,true,false,1278519900000,,false,8,20,28
35,37,"Penywern Road, Earl's Court",003444,51.49159394,-0.192369256,true,false,1278520020000,,false,7,10,17
36,38,"Abingdon Villas, Kensington",003442,51.4973875,-0.197245586,true,false,1278584880000,,false,9,8,17
37,39,"Shoreditch High Street, Shoreditch",003445,51.5263778,-0.078130921,true,false,1278601740000,,false,9,30,41
38,40,"Commercial Street, Shoreditch",001083,51.52127071,-0.0755789,true,false,1278601980000,,false,3,13,16
39,41,"Sun Street, Liverpool Street",001084,51.52001715,-0.083911168,true,false,1278602280000,,false,6,15,25
40,42,"Wenlock Road , Hoxton",000979,51.53099181,-0.093903825,true,false,1278602700000,,false,18,10,28
41,43,"Crawford Street, Marylebone",001036,51.52026,-0.157183945,true,false,1278687720000,,false,0,18,18
42,44,"Bruton Street, Mayfair",001034,51.51073687,-0.144165239,true,false,1278687900000,,false,6,15,21
43,45,"Boston Place, Marylebone",001035,51.522511,-0.162298,true,false,1278691320000,,false,8,17,26
44,46,"Nesham Street, Wapping",001031,51.507131,-0.06691,true,false,1278691800000,,false,16,0,16
45,47,"Warwick Avenue Station, Maida Vale",001027,51.52334476,-0.183846408,true,false,1278749160000,,false,14,5,19
46,48,"Godliman Street, St. Paul's",000971,51.51248445,-0.099141408,true,false,1278749460000,,false,12,9,25
47,49,"Curzon Street, Mayfair",003437,51.50706909,-0.145904427,true,false,1278749940000,,false,4,12,16
48,50,"East Road, Hoxton",001054,51.52867339,-0.087459376,true,false,1278750240000,,false,5,22,27
49,51,"Finsbury Library , Finsbury",000986,51.52671796,-0.104298194,true,false,1278750540000,,false,18,11,29
50,52,"Roscoe Street, St. Luke's",001026,51.52295439,-0.094934859,true,false,1278750840000,,false,11,6,18
51,53,"Grafton Street, Mayfair",003431,51.5099923,-0.143495266,true,false,1278752580000,,false,0,18,18
52,54,"Golden Lane, Barbican",000967,51.52174785,-0.094475072,true,false,1278766740000,,false,6,19,27
53,55,"Finsbury Circus, Liverpool Street",000984,51.51707521,-0.086685542,true,false,1278766980000,,false,12,19,33
54,56,"Paddington Street, Marylebone",001033,51.52058381,-0.154701411,true,false,1278767220000,,false,0,12,15
55,57,"Guilford Street , Bloomsbury",000974,51.52334672,-0.120202614,true,false,1278767460000,,false,12,19,32
56,58,"New Inn Yard, Shoreditch",001032,51.52452699,-0.079248081,true,false,1278767700000,,false,9,11,20
57,59,"Rodney Street, Angel",001014,51.53176825,-0.114329032,true,false,1278767880000,,false,18,12,30
58,60,"Lisson Grove, St. John's Wood",001030,51.52644828,-0.172190727,true,false,1278769140000,,false,4,13,18
59,61,"Great Dover Street, The Borough",001017,51.49738251,-0.089446947,true,false,1278773820000,,false,18,15,33
60,62,"Cotton Garden Estate, Kennington",000990,51.4907579,-0.106323685,true,false,1278773940000,,false,14,9,24
61,63,"Murray Grove , Hoxton",000989,51.53089041,-0.089782579,true,false,1278774120000,,false,17,10,27
62,64,"William IV Street, Strand",001028,51.50946212,-0.124749274,true,false,1278774300000,,false,3,21,26
63,65,"Gower Place , Euston",000969,51.52522753,-0.13518856,true,false,1278840660000,,false,2,15,17
64,66,"Holborn Circus, Holborn",000982,51.51795029,-0.108657431,true,false,1278845280000,1393938240000,false,28,7,40
